상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,도로명주소,구우편번호,신우편번호,경도,위도
세븐일레븐수원천로점,소매,종합 소매,편의점,경기도 수원시 장안구 팔달로316번길 39,440816.0,16268,127.020378618374,37.2909509961806
씨유킨텍스,소매,종합 소매,편의점,경기도 고양시 일산서구 킨텍스로 217-59,411410.0,10390,126.742258869787,37.6638512951321
씨유파주그린,소매,종합 소매,편의점,경기도 파주시 조리읍 대원로 66,413822.0,10943,126.814793154438,37.7283621427619
케이씨그룹남양주마트,소매,종합 소매,슈퍼마켓,경기도 남양주시 미금로 31,,12253,127.151690652652,37.6078589649611
지에스병점프라임점,소매,종합 소매,편의점,경기도 화성시 병점동로 41,445360.0,18409,127.043292494289,37.2083010504373
이마트24포천,소매,종합 소매,편의점,경기도 포천시 일동면 운악청계로 1745,487851.0,11119,127.321338995416,37.9530910492245
아이스케키,소매,종합 소매,슈퍼마켓,경기도 남양주시 진접읍 봉현로 54,472865.0,12007,127.178330503923,37.7180115804503
한스커머스,소매,종합 소매,슈퍼마켓,경기도 시흥시 시흥대로1065번길 7,429824.0,14951,126.791733521857,37.4309961692762
리빙홈벤처스,소매,종합 소매,슈퍼마켓,경기도 시흥시 조남길 19,429821.0,14984,126.860179394493,37.3828022929051
이마트24풍덕,소매,종합 소매,편의점,경기도 용인시 수지구 풍덕천로172번길 19-1,448505.0,16833,127.101193404665,37.324274825175
상천상회,소매,종합 소매,슈퍼마켓,경기도 가평군 청평면 상지로 66,477814.0,12449,127.459042793809,37.7692022372331
은영슈퍼,소매,종합 소매,슈퍼마켓,경기도 평택시 용죽6길 5-54,450152.0,18033,127.128995542556,36.9940912940045
지에스25일산탑점,소매,종합 소매,편의점,경기도 고양시 일산서구 원일로58번길 1,411857.0,10350,126.768855969601,37.686809259055
얼음꽃아이스크림파주점,소매,종합 소매,슈퍼마켓,경기도 파주시 한마음1길 16,413814.0,10925,126.771001160117,37.7560169810843
세븐일레븐,소매,종합 소매,편의점,경기도 화성시 동탄기흥로247번길 20,,18487,127.09057600501,37.1826213735202
하빈저,소매,종합 소매,슈퍼마켓,경기도 안산시 단원구 범지기로141번길 31,425852.0,15434,126.792022469875,37.3100521818479
우리마트,소매,종합 소매,슈퍼마켓,경기도 부천시 원미구 수도로48번길 18-21,420830.0,14518,126.771033786808,37.5127874821317
르고매점,소매,종합 소매,슈퍼마켓,경기도 김포시 김포한강3로 283,415060.0,10086,126.660227627243,37.6409568812679
지에스25안양석수로점,소매,종합 소매,편의점,경기도 안양시 만안구 석수로178번길 32,430811.0,13975,126.8974761648,37.4065734227456
집밥뚝딱,소매,종합 소매,편의점,경기도 용인시 처인구 모현읍 백옥대로 2390,449854.0,17035,127.249860539074,37.3369480266692
씨유중동미림점,소매,종합 소매,편의점,경기도 부천시 원미구 신흥로 169,420852.0,14580,126.776832856671,37.4987339169966
세븐일레븐안양인덕원,소매,종합 소매,편의점,경기도 안양시 동안구 흥안대로 516,431810.0,13943,126.97749121004,37.4000382778084
하나로마트,소매,종합 소매,슈퍼마켓,경기도 양주시 남면 개나리18길 67,482873.0,11404,126.97675033633,37.8943988072662
씨스페이스,소매,종합 소매,편의점,경기도 시흥시 만해로 43,429941.0,15074,126.747211483375,37.3317969308129
성경식자재마트,소매,종합 소매,슈퍼마켓,경기도 평택시 비전4로 158,450804.0,17846,127.107044315039,37.0095756799774
씨유유원센터,소매,종합 소매,편의점,경기도 부천시 원미구 조마루로385번길 92,420837.0,14558,126.790114845256,37.5008035418416
달빛매점,소매,종합 소매,슈퍼마켓,경기도 가평군 설악면 유명산길 122-10,477851.0,12473,127.487169868398,37.5927604520826
지에스리테일수원영업소주,소매,종합 소매,편의점,경기도 수원시 팔달구 효원로 303,442835.0,16488,127.035138499831,37.2613303409142
한국유통마트,소매,종합 소매,슈퍼마켓,경기도 고양시 일산서구 경의로 957,411808.0,10231,126.758169390673,37.7028972490295
안산농업협동조합하나로마트,소매,종합 소매,슈퍼마켓,경기도 안산시 상록구 예술광장로 75,426837.0,15291,126.844372660849,37.3275856116525
씨유진안스카이점,소매,종합 소매,편의점,경기도 화성시 병점중앙로170번길 12,445390.0,18399,127.037853968357,37.2135199939437
GS25학운타운점,소매,종합 소매,편의점,경기도 김포시 양촌읍 황금로48번길 38,415843.0,10047,126.628203264468,37.6215162408574
삼성전자수원투게더홀카페메가마트,소매,종합 소매,슈퍼마켓,경기도 수원시 영통구 삼성로 129,443742.0,16677,127.053139172334,37.2576383653782
더조은유통,소매,종합 소매,슈퍼마켓,경기도 용인시 기흥구 서그내로 17,446906.0,17103,127.073925361646,37.2455532241559
지에스25학운,소매,종합 소매,편의점,경기도 김포시 양촌읍 황금로274번길 10,415843.0,10049,126.604914477665,37.6129352871754
세븐일레븐민락폴리점,소매,종합 소매,편의점,경기도 의정부시 오목로225번길 177,480090.0,11813,127.097167740867,37.7445679089257
지에스25광교,소매,종합 소매,편의점,경기도 수원시 영통구 광교호수공원로 277,443380.0,16517,127.056619478288,37.2838300148919
슈퍼마켓,소매,종합 소매,슈퍼마켓,경기도 포천시 영북면 운천안길 23-1,487892.0,11106,127.273773364402,38.0893679482957
이마트24범계역점,소매,종합 소매,편의점,경기도 안양시 동안구 평촌대로223번길 16,431812.0,14072,126.954660122651,37.3913638959115
씨유수지,소매,종합 소매,편의점,경기도 용인시 수지구 성복2로 17,448830.0,16860,127.081050800123,37.3107748303087
세븐수지성복점,소매,종합 소매,편의점,경기도 용인시 수지구 성복2로 130,448531.0,16851,127.072088012477,37.3162769393617
씨유김포,소매,종합 소매,편의점,경기도 김포시 김포한강9로75번길 66,415080.0,10071,126.621739586865,37.6430381498396
이마트24광주,소매,종합 소매,편의점,경기도 광주시 남한산성면 남한산성로 415,464813.0,12703,127.212982568884,37.4605229649778
중국식품점,소매,종합 소매,슈퍼마켓,경기도 평택시 서정로 245,459813.0,17774,127.060628648694,37.065853662263
시가모아부천원종점,소매,종합 소매,슈퍼마켓,경기도 부천시 오정구 소사로 811,421202.0,14426,126.804608378968,37.5286333408589
세븐일레븐성남복정국제점,소매,종합 소매,편의점,경기도 성남시 수정구 복정로134번길 12,461830.0,13112,127.128273743719,37.4647178428553
아이스콘나라,소매,종합 소매,슈퍼마켓,경기도 이천시 증신로291번길 137,467803.0,17344,127.43309461244,37.2952602366587
씨유부천,소매,종합 소매,편의점,경기도 부천시 원미구 신흥로26번길 42,420827.0,14636,126.778838986441,37.4857091493908
２１세기마트,소매,종합 소매,슈퍼마켓,경기도 의정부시 체육로 206-6,480931.0,11607,127.030153164197,37.7609656705721
씨유분당,소매,종합 소매,편의점,경기도 성남시 분당구 분당로53번길 21,463824.0,13591,127.122389854034,37.3846867350162
지에스25합정타운점,소매,종합 소매,편의점,경기도 평택시 통미로35번길 16,450831.0,17908,127.097393688181,36.9927427715612
씨유수원연화교점,소매,종합 소매,편의점,경기도 수원시 장안구 연무로 54,440812.0,16216,127.025827348393,37.2957794945646
씨유오산역점,소매,종합 소매,편의점,경기도 오산시 오산로 205,447802.0,18137,127.06831213759,37.1451523189804
픽미픽미아이스송산사강점,소매,종합 소매,슈퍼마켓,경기도 화성시 송산면 삼일공원로 122,445874.0,18550,126.73949400582,37.2138342744198
바닷가오토캠핑,소매,종합 소매,슈퍼마켓,경기도 안산시 단원구 대남로 363-41,425340.0,15653,126.573842451199,37.2150390804115
아록다록,소매,종합 소매,슈퍼마켓,경기도 양평군 청운면 용두로156번길 21-4,476863.0,12530,127.712224806685,37.5549922467628
GS25민락본,소매,종합 소매,편의점,경기도 의정부시 용민로 122,480861.0,11808,127.090706249513,37.7399961371534
지에스리테일GS더프레시과천3점,소매,종합 소매,슈퍼마켓,경기도 과천시 별양로 28,427739.0,13835,126.991606236178,37.4213582500925
께끼뱅크파장천로점,소매,종합 소매,슈퍼마켓,경기도 수원시 장안구 파장천로12번길 36,440854.0,16350,126.995984378736,37.305936926243
지에스25파주미래점,소매,종합 소매,편의점,경기도 파주시 문산읍 봉미로 6,413902.0,10814,126.787335489821,37.8612343524367
세븐일레븐오산,소매,종합 소매,편의점,경기도 오산시 독산성로 425,447240.0,18105,127.041490597038,37.1887218332183
코리아세븐신창점,소매,종합 소매,편의점,경기도 화성시 봉담읍 수영로 61-16,445805.0,18297,126.955249646407,37.2352238390541
부성쇼핑,소매,종합 소매,슈퍼마켓,경기도 파주시 문산읍 문향로 42,413904.0,10824,126.786214770011,37.8558086060801
와식자재마트민락지점,소매,종합 소매,슈퍼마켓,경기도 의정부시 용민로489번길 26,480090.0,11815,127.120050224133,37.7500247084675
산장슈퍼,소매,종합 소매,슈퍼마켓,경기도 포천시 내촌면 금강로2110번길 202,487835.0,11192,127.244729676681,37.7740857223833
마이월드스토아,소매,종합 소매,슈퍼마켓,경기도 부천시 원미구 지봉로 100,420834.0,14671,126.810368106464,37.4878903379572
추릅추릅,소매,종합 소매,슈퍼마켓,경기도 오산시 운암로 122,447717.0,18132,127.07941148874,37.15689521395
픽미픽미아이스,소매,종합 소매,슈퍼마켓,경기도 남양주시 다산순환로 356,,12285,127.155396136774,37.6252071621507
삼주,소매,종합 소매,슈퍼마켓,경기도 양주시 독바위로 19,482060.0,11451,127.062801468145,37.8396066041934
씨유군포에스에이,소매,종합 소매,편의점,경기도 군포시 엘에스로 175,435845.0,15808,126.943379626426,37.3752397161772
패밀리마트,소매,종합 소매,슈퍼마켓,경기도 부천시 원미구 약대로 20,420140.0,14514,126.766850164714,37.5123378071949
이마트24여주가남점,소매,종합 소매,편의점,경기도 여주시 가남읍 태평3길 41,469884.0,12662,127.545490140367,37.2073863665567
농민식자재마트,소매,종합 소매,슈퍼마켓,경기도 파주시 조리읍 통일로 43,413825.0,10941,126.835409602016,37.7311587074049
시그마매점,소매,종합 소매,슈퍼마켓,경기도 김포시 사우중로74번길 29,415802.0,10111,126.721562152442,37.6217013875498
캄폿글로벌,소매,종합 소매,슈퍼마켓,경기도 남양주시 별내면 청학로 103-111,472811.0,12089,127.114225709846,37.7033962397104
세븐일레븐이천증포,소매,종합 소매,편의점,경기도 이천시 애련정로 204,467802.0,17358,127.454080558244,37.2873065783268
씨유양주자이,소매,종합 소매,편의점,경기도 양주시 삼숭로38번길 4,482110.0,11487,127.101448901512,37.7971175498272
의정부농업협동조합가능하나로마트,소매,종합 소매,슈퍼마켓,경기도 의정부시 가능로 66,480812.0,11662,127.038350699284,37.7464667253064
늘푸른마트,소매,종합 소매,슈퍼마켓,경기도 수원시 권선구 정조로495번길 15,441872.0,16655,127.010291320045,37.253297802663
씨유오산,소매,종합 소매,편의점,경기도 오산시 운암로 37,447010.0,18133,127.076060774776,37.1497159727979
세븐화성향남죽전로점,소매,종합 소매,편의점,경기도 화성시 향남읍 행정죽전로3길 11,445926.0,18602,126.924278758079,37.125288419868
신천홈마트,소매,종합 소매,슈퍼마켓,경기도 시흥시 신천로 46,429877.0,14950,126.788614678741,37.4351713415355
나라마트,소매,종합 소매,슈퍼마켓,경기도 수원시 권선구 구운중로 12,441819.0,16410,126.973435153586,37.2762358000236
