상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,도로명주소,구우편번호,신우편번호,경도,위도
에이스스크린골프존,예술·스포츠,스포츠 서비스,골프 연습장,경기도 안양시 동안구 벌말로 42,431804.0,14059,126.969667720835,37.3920985260877
페어웨이,예술·스포츠,스포츠 서비스,골프 연습장,경기도 고양시 덕양구 꽃마을로 68,412160.0,10546,126.893767443842,37.6009620082675
스타짐휘트니스,예술·스포츠,스포츠 서비스,헬스장,경기도 파주시 경의로 1080,413200.0,10908,126.759948538843,37.713811658108
스카이당구장,예술·스포츠,스포츠 서비스,당구장,경기도 양주시 고암길 306-77,482060.0,11456,127.068581372159,37.8367473555033
수정스포츠,예술·스포츠,스포츠 서비스,종합 스포츠시설,경기도 수원시 장안구 대평로 128,440836.0,16339,126.991315332164,37.2989356236344
비율컴퍼니바디코치,예술·스포츠,스포츠 서비스,헬스장,경기도 수원시 팔달구 권광로 138,442835.0,16491,127.031620650664,37.2598536227361
매니아당구장,예술·스포츠,스포츠 서비스,당구장,경기도 안산시 상록구 샘골로 100-1,426813.0,15551,126.86313193975,37.2927027239608
에이플러스골프아카데미,예술·스포츠,스포츠 서비스,골프 연습장,경기도 하남시 검단산로 275,465816.0,13023,127.231272864078,37.5381911971715
그린빌스크린골프,예술·스포츠,스포츠 서비스,골프 연습장,경기도 용인시 수지구 신봉1로 84,448833.0,16815,127.07645015033,37.3237077272891
스포애니케이디스포츠,예술·스포츠,스포츠 서비스,헬스장,경기도 성남시 분당구 돌마로 364,463864.0,13600,127.123664257039,37.3699897026822
오페라당구장,예술·스포츠,스포츠 서비스,당구장,경기도 군포시 공단로 294,435862.0,15809,126.94502024985,37.3703839630392
골프 연습장,예술·스포츠,스포츠 서비스,골프 연습장,경기도 광주시 역동로 29,464807.0,12759,127.258082953004,37.4050026951561
홀스메이트,예술·스포츠,스포츠 서비스,당구장,경기도 화성시 매송면 화성로 2337-6,445832.0,18289,126.921988007058,37.2519480167514
원아워피트니스,예술·스포츠,스포츠 서비스,헬스장,경기도 성남시 분당구 황새울로258번길 43,463825.0,13595,127.115492196383,37.3783144242779
큐당구장,예술·스포츠,스포츠 서비스,당구장,경기도 평택시 원평로 55,450827.0,17921,127.083562926883,36.9905186264426
고양풀스윙배팅센터,예술·스포츠,스포츠 서비스,기타 스포츠시설 운영업,경기도 고양시 덕양구 중앙로78번안길 119,412160.0,10538,126.875242177137,37.6002681371794
조이제이빌리어드,예술·스포츠,스포츠 서비스,당구장,경기도 성남시 중원구 둔촌대로101번길 27,462827.0,13365,127.12979991543,37.4321175114439
미준당구장,예술·스포츠,스포츠 서비스,당구장,경기도 포천시 호국로 984,487020.0,11162,127.166132794139,37.8526780928137
호성종합건설주,예술·스포츠,스포츠 서비스,볼링장,경기도 부천시 소사구 소안로 78,422800.0,14691,126.803419098827,37.4817160916592
국가대표탁구클럽,예술·스포츠,스포츠 서비스,탁구장,경기도 부천시 소사구 은성로 66,422810.0,14762,126.797964831055,37.4750574522368
핏건짐,예술·스포츠,스포츠 서비스,헬스장,경기도 남양주시 호평로45번길 28,472120.0,12147,127.246207319434,37.6581817439336
케이지비,예술·스포츠,스포츠 서비스,골프 연습장,경기도 시흥시 포도원로116번길 29,429825.0,14952,126.788775322551,37.4342976446555
리벌스바디,예술·스포츠,스포츠 서비스,헬스장,경기도 안양시 동안구 경수대로 472,431834.0,14125,126.959247920098,37.3649655427083
스트라이크존평택서정구장,예술·스포츠,스포츠 서비스,기타 스포츠시설 운영업,경기도 평택시 관광특구로 31,459813.0,17774,127.062552417082,37.0670871322325
레전드실내테니스,예술·스포츠,스포츠 서비스,테니스장,경기도 남양주시 두물로11번길 40-36,472501.0,12105,127.125486884445,37.6567411610496
엘퍼스널스튜디오,예술·스포츠,스포츠 서비스,헬스장,경기도 안산시 단원구 예술대학로 147-1,425805.0,15262,126.838387291752,37.3300824549386
즐거운당구장,예술·스포츠,스포츠 서비스,당구장,경기도 용인시 수지구 풍덕천로129번길 12,448553.0,16837,127.095428028359,37.3242886256006
피트니스더클럽,예술·스포츠,스포츠 서비스,헬스장,경기도 수원시 장안구 수성로 274,440820.0,16274,127.002458489022,37.290114759469
잇서블짐,예술·스포츠,스포츠 서비스,헬스장,경기도 수원시 장안구 송원로 81,440202.0,16295,127.009226440447,37.3021342625489
에스지스크린골프가남점,예술·스포츠,스포츠 서비스,골프 연습장,경기도 여주시 가남읍 여주남로 956,469884.0,12661,127.557419749696,37.2242252916924
